PtID C2O1O1_Q00 C2O1O1_Q10 C2O1O1_Q20 O1C2O1_Q00 O1C2O1_Q10 O1C2O1_Q20 aiESP
Pt:-2.078702_1.133829_1.133829_co2 0.15372980441 0.0232847480359 0.00347371398672 0.347276617691 -0.0394047752822 0.0128196665053 -0.0121922
Pt:-2.078702_1.133829_1.889719_co2 0.151696800135 0.0223731213782 0.00320415874228 0.339539454172 -0.0351757802756 0.0108349585673 -0.01052
Pt:-2.078702_1.133829_2.645609_co2 0.148792269028 0.021112439539 0.00284646448858 0.329024161529 -0.029925819524 0.00855059199357 -0.00846285
Pt:-2.078702_1.133829_3.401499_co2 0.145166510404 0.0196063445458 0.00244251102051 0.316673700902 -0.0244546033675 0.00638959583799 -0.00639296
Pt:-2.078702_1.889719_-3.401511_co2 0.143483482218 0.0189322854173 0.00227011753863 0.311198458661 -0.022257347002 0.00558716509387 -0.0055945
Pt:-2.078702_1.889719_-2.645621_co2 0.146984641244 0.0203522856302 0.00263936702073 0.322766917691 -0.0270628032916 0.00739118953148 -0.00736707
Pt:-2.078702_1.889719_-1.889731_co2 0.149785882715 0.0215382279153 0.00296530009739 0.332554519694 -0.031626049418 0.00926822279028 -0.0091239
Pt:-2.078702_1.889719_-1.133841_co2 0.151745442647 0.0223946505169 0.00321041981818 0.339720774454 -0.0352712728277 0.0108783681821 -0.0105578
Pt:-2.078702_1.889719_-0.377951_co2 0.152755379403 0.0228447736072 0.00334248744889 0.34352685128 -0.0373155378115 0.0118233163768 -0.0113666
Pt:-2.078702_1.889719_0.377939_co2 0.152757118612 0.0228455539193 0.00334271831875 0.343533475105 -0.0373191621483 0.0118250181352 -0.011368
Pt:-2.078702_1.889719_1.133829_co2 0.15175055764 0.022396915211 0.00321107872951 0.339739851628 -0.0352813298066 0.0108829437641 -0.0105617
Pt:-2.078702_1.889719_1.889719_co2 0.149794081946 0.0215417650962 0.00296629577584 0.33258393227 -0.0316404762873 0.00927440375491 -0.00912951
Pt:-2.078702_1.889719_2.645609_co2 0.146995488423 0.0203567918395 0.00264057547341 0.322803856906 -0.0270791499542 0.00739763248875 -0.00737323
Pt:-2.078702_1.889719_3.401499_co2 0.143496455862 0.018937421401 0.00227141121347 0.311240088352 -0.0222735417418 0.0055929388919 -0.00560027
Pt:-2.078702_2.645609_-2.645621_co2 0.144384144338 0.019291048338 0.00236121963851 0.314109510468 -0.0234085994372 0.00600282768257 -0.00601011
Pt:-2.078702_2.645609_-1.889731_co2 0.147036643594 0.0203738948508 0.00264516416846 0.322944072676 -0.0271412587998 0.00742213104228 -0.00739676
Pt:-2.078702_2.645609_-1.133841_co2 0.148888944119 0.0211536185623 0.00285786888198 0.329364736149 -0.0300871409135 0.00861775841462 -0.0085253
Pt:-2.078702_2.645609_-0.377951_co2 0.14984255795 0.0215626857491 0.00297218756129 0.332757922452 -0.0317259074963 0.00931103688482 -0.0091629
Pt:-2.078702_2.645609_0.377939_co2 0.149844199551 0.0215633944471 0.00297238723384 0.332763817347 -0.0317288046265 0.00931228012586 -0.00916402
Pt:-2.078702_2.645609_1.133829_co2 0.148893775648 0.0211556779692 0.00285843972634 0.329381773304 -0.030095226034 0.00862112978529 -0.00852841
Pt:-2.078702_2.645609_1.889719_co2 0.147044399561 0.0203771191 0.00264602959791 0.322970508821 -0.0271529792704 0.00742675744092 -0.00740117
Pt:-2.078702_2.645609_2.645609_co2 0.144394425869 0.0192951697525 0.00236227485552 0.314142991157 -0.0234220633661 0.0060077512068 -0.00601498
Pt:-2.078702_3.401499_-1.889731_co2 0.143580276943 0.018970626734 0.00227978251547 0.311509263289 -0.0223784432283 0.00563038955797 -0.00563791
Pt:-2.078702_3.401499_-1.133841_co2 0.145303479727 0.0196618945968 0.00245695166968 0.317126102198 -0.0246422889143 0.0064599043558 -0.00646216
Pt:-2.078702_3.401499_-0.377951_co2 0.146189440172 0.0200237460103 0.00255188236517 0.320078163183 -0.0258903700372 0.00693443613038 -0.00692597
Pt:-2.078702_3.401499_0.377939_co2 0.146190964609 0.0200243724291 0.00255204800131 0.320083281778 -0.0258925695189 0.00693528307396 -0.00692678
Pt:-2.078702_3.401499_1.133829_co2 0.145307970532 0.0196637176876 0.00245742619576 0.317140952891 -0.0246484659997 0.0064622230313 -0.00646443
Pt:-2.078702_3.401499_1.889719_co2 0.143587498685 0.0189734894084 0.00228050481556 0.3115324716 -0.0223875030571 0.00563362812156 -0.00564114
Pt:-2.078702_4.157389_-0.377951_co2 0.141966560493 0.0183381491459 0.00212253891583 0.306389852843 -0.0204384102914 0.00495212904269 -0.00495128
Pt:-2.078702_4.157389_0.377939_co2 0.141967956602 0.0183386901672 0.00212267142274 0.306394225985 -0.0204400183766 0.00495267860721 -0.00495184
Pt:-1.322812_-4.913291_-1.133841_co2 0.149269388836 0.0188021576502 0.00188955292078 0.317379959596 -0.0160486793885 0.00284186361817 -0.00294599
Pt:-1.322812_-4.913291_-0.377951_co2 0.150230378799 0.0191676430316 0.00197306409239 0.32023142919 -0.0169278711857 0.00307689519376 -0.00319023
Pt:-1.322812_-4.913291_0.377939_co2 0.150232033179 0.0191682762774 0.00197321007394 0.320236369286 -0.0169294201872 0.00307731470151 -0.00319066
Pt:-1.322812_-4.913291_1.133829_co2 0.149274257498 0.0188039974983 0.0018899695877 0.317394315969 -0.0160530317542 0.00284301193993 -0.00294718
Pt:-1.322812_-4.157401_-2.645621_co2 0.150279279756 0.0191863666993 0.00197738232081 0.320377496742 -0.0169737096329 0.00308931740311 -0.00320307
Pt:-1.322812_-4.157401_-1.889731_co2 0.153277053341 0.0203576129985 0.00225518425413 0.32952054281 -0.0200021328832 0.00394636017508 -0.0040717
Pt:-1.322812_-4.157401_-1.133841_co2 0.15537880413 0.0212065855846 0.00246588973534 0.336167979939 -0.0224066628306 0.00467673321502 -0.00478717
Pt:-1.322812_-4.157401_-0.377951_co2 0.156463562898 0.0216538474255 0.00258001116661 0.33968198736 -0.02374917716 0.00510325816559 -0.00519521
Pt:-1.322812_-4.157401_0.377939_co2 0.156465431868 0.0216546234055 0.00258021101837 0.339688092774 -0.023751553473 0.00510402488713 -0.00519594
Pt:-1.322812_-4.157401_1.133829_co2 0.15538429542 0.0212088340698 0.00246645809533 0.336185621987 -0.0224132780828 0.00467880227745 -0.00478915
Pt:-1.322812_-4.157401_1.889719_co2 0.15328583939 0.0203611139773 0.00225603713894 0.329547907982 -0.0200116756882 0.00394917252212 -0.00407449
Pt:-1.322812_-4.157401_2.645609_co2 0.15029087288 0.0191908073728 0.00197840704118 0.320412139419 -0.0169845926144 0.00309226912947 -0.0032061
Pt:-1.322812_-3.401511_-3.401511_co2 0.151311639731 0.0195844977651 0.00207012134739 0.323483626342 -0.017967179628 0.00336261242721 -0.00348365
Pt:-1.322812_-3.401511_-2.645621_co2 0.155434741007 0.0212294971513 0.00247168373668 0.336347758992 -0.0224741333644 0.00469785130765 -0.00480754
Pt:-1.322812_-3.401511_-1.889731_co2 0.158758732511 0.0226208174324 0.00283400358336 0.347318272307 -0.0268422630553 0.0061359088054 -0.0061554
Pt:-1.322812_-3.401511_-1.133841_co2 0.161097659036 0.0236354085967 0.00311105594368 0.355405051847 -0.0303887691419 0.00740364532554 -0.00728485
Pt:-1.322812_-3.401511_-0.377951_co2 0.162307609073 0.0241719711165 0.00326188919925 0.359719795221 -0.0323988126546 0.00816091712962 -0.00793559
Pt:-1.322812_-3.401511_0.377939_co2 0.162309695388 0.0241729032538 0.00326215381141 0.359727316595 -0.0324023894925 0.00816228931698 -0.00793674
Pt:-1.322812_-3.401511_1.133829_co2 0.161103779277 0.0236381024887 0.0031118058037 0.355426643764 -0.0303986211607 0.00740728926864 -0.00728801
Pt:-1.322812_-3.401511_1.889719_co2 0.158768495387 0.0226249908939 0.00283512119626 0.3473513665 -0.0268562015657 0.00614071781558 -0.00615976
